category,subcategory,product_title,price,rating,reviews,product_url,scraped_date
Home & Kitchen,Cookware,Mixing Bowls,"₹ 246,325",4.4,46221,https://www.amazon.in/dp/186505371,16-01-2026 19:05
Electronics,Headphones,JBL Pro,"₹ 230,104",3.2,6999,https://www.amazon.in/dp/232052953,16-01-2026 19:05
Home & Kitchen,Storage,Wardrobe Organizer,"₹ 103,121",4.6,35170,https://www.amazon.in/dp/593125694,16-01-2026 19:05
Fashion,Shoes,Sandals,"₹ 386,501",3.1,26825,https://www.amazon.in/dp/334054908,16-01-2026 19:05
Electronics,Laptops,Dell XPS 13,"₹ 308,767",4.9,38150,https://www.amazon.in/dp/723076449,16-01-2026 19:05
Fashion,Shoes,Boots,"₹ 497,292",4.6,19338,https://www.amazon.in/dp/582887579,16-01-2026 19:05
Books,Technology,RESTful Web Services,"₹ 175,653",3.9,2486,https://www.amazon.in/dp/864961283,16-01-2026 19:05
Home & Kitchen,Storage,Drawer Organizer,"₹ 376,959",3.8,40586,https://www.amazon.in/dp/237805838,16-01-2026 19:05
Books,Self-Help,The 7 Habits,"₹ 400,869",4.3,47862,https://www.amazon.in/dp/224798685,16-01-2026 19:05
Electronics,Speakers,Sonos Arc,"₹ 337,136",4.5,13337,https://www.amazon.in/dp/815753459,16-01-2026 19:05
Books,Self-Help,Deep Work,"₹ 85,316",3.4,27669,https://www.amazon.in/dp/199514275,16-01-2026 19:05
Books,Self-Help,Mindset,"₹ 52,261",4,15440,https://www.amazon.in/dp/369144928,16-01-2026 19:05
Electronics,Cameras,GoPro Hero 12,"₹ 497,758",4.2,48181,https://www.amazon.in/dp/236722737,16-01-2026 19:05
Electronics,Cameras,GoPro Hero 12,"₹ 295,365",4,10235,https://www.amazon.in/dp/174783072,16-01-2026 19:05
Books,Non-Fiction,Thinking Fast and Slow,"₹ 274,450",4.9,3746,https://www.amazon.in/dp/968403924,16-01-2026 19:05
Home & Kitchen,Cookware,Stainless Steel Pot,"₹ 67,444",3.3,29334,https://www.amazon.in/dp/106397024,16-01-2026 19:05
Books,Technology,Python Cookbook,"₹ 494,570",3.4,42172,https://www.amazon.in/dp/177399869,16-01-2026 19:05
Fashion,Sports,Gym Gloves,"₹ 419,216",4.1,11641,https://www.amazon.in/dp/990543391,16-01-2026 19:05
Fashion,Men,Formal Blazer,"₹ 436,081",4.7,34543,https://www.amazon.in/dp/582497753,16-01-2026 19:05
Home & Kitchen,Bedding,Pillow Covers,"₹ 451,049",3.6,42887,https://www.amazon.in/dp/211658126,16-01-2026 19:05
Fashion,Accessories,Leather Belt,"₹ 17,775",4.1,46253,https://www.amazon.in/dp/802051281,16-01-2026 19:05
Home & Kitchen,Bedding,Bed Sheets,"₹ 21,475",4.6,49307,https://www.amazon.in/dp/204880588,16-01-2026 19:05
Books,Self-Help,Mindset,"₹ 326,952",4.8,23475,https://www.amazon.in/dp/833481678,16-01-2026 19:05
Home & Kitchen,Bedding,Pillow Covers,"₹ 168,953",4.9,3289,https://www.amazon.in/dp/219106506,16-01-2026 19:05
Fashion,Sports,Sports Bra,"₹ 314,470",4.1,40849,https://www.amazon.in/dp/740599918,16-01-2026 19:05
Home & Kitchen,Storage,Drawer Organizer,"₹ 164,297",5,35624,https://www.amazon.in/dp/376663310,16-01-2026 19:05
Fashion,Accessories,Scarves,"₹ 17,447",4.3,33254,https://www.amazon.in/dp/656805457,16-01-2026 19:05
Fashion,Sports,Compression Shirt,"₹ 206,996",3.8,45283,https://www.amazon.in/dp/621152353,16-01-2026 19:05
Books,Non-Fiction,The Psychology of Money,"₹ 120,409",4.8,14825,https://www.amazon.in/dp/889478210,16-01-2026 19:05
Electronics,Mobile Phones,iPhone 15 Pro,"₹ 99,621",4.5,45463,https://www.amazon.in/dp/609031578,16-01-2026 19:05
Electronics,Headphones,Bose QuietComfort,"₹ 277,030",4.9,26573,https://www.amazon.in/dp/874083191,16-01-2026 19:05
Books,Non-Fiction,Educated,"₹ 292,378",4,26087,https://www.amazon.in/dp/691544657,16-01-2026 19:05
Home & Kitchen,Storage,Storage Boxes,"₹ 490,887",4.6,43816,https://www.amazon.in/dp/247483842,16-01-2026 19:05
Books,Non-Fiction,Atomic Habits,"₹ 299,722",4.3,41842,https://www.amazon.in/dp/639802635,16-01-2026 19:05
Books,Mystery,Twinned,"₹ 108,969",3.3,11894,https://www.amazon.in/dp/645946899,16-01-2026 19:05
Electronics,Headphones,JBL Pro,"₹ 359,340",3.1,689,https://www.amazon.in/dp/601599516,16-01-2026 19:05
Books,Non-Fiction,The Psychology of Money,"₹ 271,510",4.9,44153,https://www.amazon.in/dp/641753683,16-01-2026 19:05
Books,Mystery,The Thursday Murder Club,"₹ 128,306",4.5,4373,https://www.amazon.in/dp/717258860,16-01-2026 19:05
Fashion,Shoes,Sandals,"₹ 423,133",4.1,17422,https://www.amazon.in/dp/882256284,16-01-2026 19:05
Fashion,Accessories,Wrist Watch,"₹ 420,361",3.2,34105,https://www.amazon.in/dp/367137921,16-01-2026 19:05
Books,Mystery,Verity,"₹ 263,701",4.7,20412,https://www.amazon.in/dp/559923528,16-01-2026 19:05
Fashion,Men,Denim Jeans,"₹ 99,407",4.6,200,https://www.amazon.in/dp/214351483,16-01-2026 19:05
Home & Kitchen,Storage,Drawer Organizer,"₹ 20,086",4,16263,https://www.amazon.in/dp/811623008,16-01-2026 19:05
Home & Kitchen,Storage,Wall Shelf,"₹ 475,010",5,17137,https://www.amazon.in/dp/563718318,16-01-2026 19:05
Fashion,Accessories,Wrist Watch,"₹ 419,991",4.5,3270,https://www.amazon.in/dp/483029845,16-01-2026 19:05
Electronics,Headphones,JBL Pro,"₹ 361,254",3.3,16719,https://www.amazon.in/dp/281965774,16-01-2026 19:05
Fashion,Men,Denim Jeans,"₹ 442,336",4.7,15379,https://www.amazon.in/dp/197429197,16-01-2026 19:05
Books,Fiction,Lessons in Chemistry,"₹ 172,170",3.2,9290,https://www.amazon.in/dp/785389011,16-01-2026 19:05
Electronics,Headphones,Sony WH-1000XM5,"₹ 390,844",3.8,43478,https://www.amazon.in/dp/554379221,16-01-2026 19:05
